headlen	count	mean	std	min	25%	50%	75%	max
50	5996.0	30.932621747831888	645.0955945193351	1.0	1.0	3.0	8.0	47589.0
100	6640.0	57.910993975903615	805.5730103727633	1.0	1.0	3.0	10.0	52739.0
150	7087.0	94.70932693664456	1291.04038016832	1.0	1.0	4.0	11.0	70802.0
200	7445.0	130.54546675621222	1836.4100608490983	1.0	2.0	4.0	13.0	119830.0
300	8055.0	178.151582867784	2101.5197604213563	1.0	2.0	5.0	15.0	125146.0
400	8532.0	205.41947960618847	2132.2428222452413	1.0	2.0	5.0	18.0	125185.0
500	8961.0	231.75929025778373	2158.6435521512853	1.0	2.0	6.0	21.0	125190.0
700	9645.0	305.9885951270088	2739.702285259594	1.0	2.0	7.0	27.0	149138.0
1000	10355.0	411.9454369869628	3480.092753967778	1.0	3.0	8.0	36.0	175385.0
1500	11143.0	543.0248586556582	4609.8865155492185	1.0	3.0	11.0	52.0	243086.0
