	seqid	start	end	strand	motherlength	length	neighbor_gene	flag	distance	correlation	transcription	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand
head0	SM_V7_4H018	2815	3815	+	2823	1000	Smp_321170	dir	1801.0	0.4443618126178263	0.7437305448338811	5616.0	8339.0	+	2723	0.7770302361411093	True
head1	SM_V7_U005	444	1444	+	428	1000	Smp_317840	dir	17133.0		0.0	18577.0	21922.0	-	3345	0.024389649238175385	False
head100	SM_V7_2H016	3173	4173	+	311	1000					0.0						False
head10007	SM_V7_5	11664755	11665755	+	592	1000	Smp_344580	esq	5635.0	-0.2545613819954427	0.9383654995511221	11634106.0	11659120.0	+	25014	122.60267619487303	True
head10010	SM_V7_1	11674926	11675926	+	420	1000	Smp_332800	olap	0.0		0.06136197129259944	11619967.0	11761536.0	+	141569	0.5263742977711389	True
head10013	SM_V7_3	11679386	11680386	+	722	1000	Smp_159630	esq	19477.0		0.1496410138515934	11649724.0	11659909.0	-	10185	7.911719000814656	False
head10019	SM_V7_3	11697396	11698396	-	160	1000	Smp_159630	esq	37487.0	0.2586750593386303	0.25930988055226506	11649724.0	11659909.0	-	10185	7.911719000814656	True
head10028	SM_V7_5	11710432	11711432	+	411	1000	Smp_153330	esq	25870.0		0.0	11683338.0	11684562.0	-	1224	0.8851782991354028	False
head10031	SM_V7_2	11714488	11715488	+	464	1000	Smp_245580	esq	28639.0		0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10032	SM_V7_3	11712913	11713913	-	361	1000	Smp_159630	esq	53004.0		0.0	11649724.0	11659909.0	-	10185	7.911719000814656	True
head10033	SM_V7_2	11714179	11715179	-	1015	1000	Smp_245580	esq	28330.0		0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	False
head10035	SM_V7_5	11716138	11717138	-	346	1000	Smp_153340	dir	23449.0		0.1534049282314986	11740587.0	11749732.0	-	9145	51.70861461566257	True
head10041	SM_V7_3	11730792	11731792	-	621	1000	Smp_159630	esq	70883.0		0.0	11649724.0	11659909.0	-	10185	7.911719000814656	True
head10045	SM_V7_5	11734489	11735489	-	179	1000	Smp_153340	dir	5098.0	0.21577594417881407	1.3451448709141063	11740587.0	11749732.0	-	9145	51.70861461566257	True
head10049	SM_V7_2	11742907	11743907	+	452	1000	Smp_245580	esq	57058.0		0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10050	SM_V7_3	11747113	11748113	+	189	1000	Smp_080610	dir	81439.0		0.0	11829552.0	11831779.0	-	2227	40.55600474079012	False
head10054	SM_V7_2	11754388	11755388	+	662	1000	Smp_245580	esq	68539.0		0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10055	SM_V7_3	11752829	11753829	-	586	1000	Smp_080610	dir	75723.0		0.0	11829552.0	11831779.0	-	2227	40.55600474079012	True
head1006	SM_V7_W011	37484	38484	-	137	1000	Smp_308070	dir	20323.0		0.0	58807.0	62862.0	-	4055	0.0	True
head10063	SM_V7_2	11762366	11763366	-	836	1000	Smp_245580	esq	76517.0	0.4138828192828948	0.6034591382716579	11653015.0	11685849.0	+	32834	1.2307588948043615	False
head10064	SM_V7_2	11765283	11766283	+	78	1000	Smp_245580	esq	79434.0		0.23085339006924158	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10066	SM_V7_3	11768833	11769833	+	242	1000	Smp_080610	dir	59719.0		0.0	11829552.0	11831779.0	-	2227	40.55600474079012	False
head10068	SM_V7_2	11770383	11771383	+	65	1000	Smp_187950	dir	77848.0		0.0	11849231.0	11849554.0	+	323	0.0	True
head10077	SM_V7_4	11778688	11779688	+	507	1000	Smp_062900	olap	0.0	0.6715117601251929	2.235840750741025	11763899.0	11800997.0	-	37098	1.5384008937298128	False
head10085	SM_V7_6	11782819	11783819	-	561	1000	Smp_194100	esq	10254.0		0.0	11763411.0	11772565.0	+	9154	0.04271937224315474	False
head10086	SM_V7_3	11785262	11786262	-	372	1000	Smp_080610	dir	43290.0		0.0	11829552.0	11831779.0	-	2227	40.55600474079012	True
head10092	SM_V7_5	11797622	11798622	-	313	1000	Smp_344590	esq	2287.0		0.0	11777624.0	11795335.0	-	17711	0.028100334175397465	True
head10094	SM_V7_5	11803818	11804818	+	223	1000	Smp_153370	dir	3170.0		0.26054509113645447	11807988.0	11813972.0	-	5984	0.02619154848625648	False
head10096	SM_V7_7	11805229	11806229	-	179	1000	Smp_144820	esq	7499.0		0.0	11731785.0	11797730.0	-	65945	3.2592531002922893	True
head10099	SM_V7_3	11810816	11811816	+	223	1000	Smp_080610	dir	17736.0		0.0	11829552.0	11831779.0	-	2227	40.55600474079012	False
head10107	SM_V7_7	11829019	11830019	+	982	1000	Smp_041600	dir	10908.0	-0.206776968500524	0.6212016552876013	11840927.0	11878652.0	-	37725	11.173654315953588	False
head10108	SM_V7_6	11828696	11829696	+	65	1000	Smp_334760	olap	0.0	0.6814413346052393	0.824040955418983	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10109	SM_V7_6	11832457	11833457	+	594	1000	Smp_334760	olap	0.0	0.13206866034304945	0.805035974035988	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10111	SM_V7_7	11835720	11836720	+	208	1000	Smp_041600	dir	4207.0		0.2316179369861582	11840927.0	11878652.0	-	37725	11.173654315953588	False
head10117	SM_V7_6	11844501	11845501	-	802	1000	Smp_334760	olap	0.0		0.0680576371498967	11814806.0	11931126.0	+	116320	1.1255545679375298	False
head10118	SM_V7_6	11845843	11846843	-	196	1000	Smp_334760	olap	0.0		0.6726622559649031	11814806.0	11931126.0	+	116320	1.1255545679375298	False
head10119	SM_V7_3	11851878	11852878	-	871	1000	Smp_080620	olap	0.0	0.6553628315279144	1.2901054054800873	11844776.0	11852313.0	+	7537	5.8410809176085134	False
head10129	SM_V7_6	11873147	11874147	+	420	1000	Smp_334760	olap	0.0	0.14279172022576264	2.7211793072139843	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10131	SM_V7_1	11886353	11887353	+	690	1000	Smp_003660	esq	5941.0		0.06136197129259944	11875863.0	11880412.0	-	4549	498.3332409118053	False
head10135	SM_V7_ZW	11893123	11894123	+	604	1000	Smp_120350	esq	13771.0		0.0	11863531.0	11879352.0	-	15821	7.057385901907769	False
head10136	SM_V7_6	11893393	11894393	+	295	1000	Smp_334760	olap	0.0	0.058668804721273865	1.5969459300150448	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10139	SM_V7_2	11903264	11904264	-	671	1000	Smp_310510	olap	0.0		0.25064473623784883	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head1014	SM_V7_7H004	39716	40716	+	513	1000	Smp_317960	olap	0.0		0.38542242458327	11900.0	52552.0	-	40652	0.11868910714235548	False
head10142	SM_V7_6	11905117	11906117	-	467	1000	Smp_334760	olap	0.0	0.3211392356259666	0.8266983204332683	11814806.0	11931126.0	+	116320	1.1255545679375298	False
head10146	SM_V7_2	11913150	11914150	+	462	1000	Smp_310510	olap	0.0	0.9558167795921882	0.8586267389818861	11884566.0	12043925.0	+	159359	0.3392654677354109	True
head10152	SM_V7_2	11931894	11932894	-	232	1000	Smp_310510	olap	0.0		0.372699172149244	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head10160	SM_V7_ZW	11940867	11941867	-	3191	1000	Smp_193800	olap	0.0	0.6338811077223264	4.031801933099622	11916226.0	11951750.0	+	35524	3.7824052153161567	False
head10164	SM_V7_5	11949066	11950066	-	366	1000	Smp_153390	esq	3244.0		0.0	11940111.0	11945822.0	-	5711	45.5829082702319	True
head10166	SM_V7_1	11955185	11956185	+	1932	1000	Smp_003620	olap	0.0	0.9947053447354544	30.545568128760213	11955356.0	11980971.0	+	25615	7.22420499960502	True
head10169	SM_V7_ZW	11950747	11951747	-	3054	1000	Smp_193800	olap	0.0	0.7210264862571859	16.95707570590765	11916226.0	11951750.0	+	35524	3.7824052153161567	False
head10181	SM_V7_6	11964355	11965355	-	856	1000	Smp_141980	olap	0.0	0.3695906620395071	2.082642357575478	11941706.0	12003622.0	+	61916	5.13963768551409	False
head10183	SM_V7_5	11963680	11964680	-	3183	1000	Smp_247660	dir	5156.0		0.4412025576678672	11969836.0	11974872.0	+	5036	0.010800023391805226	False
head10187	SM_V7_2	11970153	11971153	-	317	1000	Smp_310510	olap	0.0	0.7786434197566428	0.3531458460207151	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head10188	SM_V7_3	11972861	11973861	+	479	1000	Smp_345620	olap	0.0		0.0	11871455.0	11988772.0	-	117317	0.27302452194500365	False
head10189	SM_V7_2	11972147	11973147	-	472	1000	Smp_310510	olap	0.0		0.08430535653051421	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head1019	SM_V7_U004	40177	41177	+	632	1000	Smp_328760	esq	17574.0		0.1564038836274933	22026.0	22603.0	+	577	0.29381713818560595	True
head10190	SM_V7_3	11977044	11978044	+	272	1000	Smp_345620	olap	0.0		0.02043158912466557	11871455.0	11988772.0	-	117317	0.27302452194500365	False
head10191	SM_V7_2	11972909	11973909	-	3186	1000	Smp_310510	olap	0.0	0.3635386771479925	0.93981457575006	11884566.0	12043925.0	+	159359	0.3392654677354109	False
