head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_4H018	2815	2915	+	2823	100	Smp_321170	hg	2701.0	0.4443618126178263	2.6855296201053402	1.0	5616.0	8339.0	+	2723	0.7770302361411093	True	hg	hg
head1	SM_V7_U005	444	544	+	428	100	Smp_317840	hg	18033.0		0.0	1.0	18577.0	21922.0	-	3345	0.024389649238175385	False	gh	hg
head3	SM_V7_1H017	232	332	+	243	100	Smp_320960	hg	12840.0		0.0	1.0	13172.0	25122.0	-	11950	0.176990150574339	False	gh	hg
head40	SM_V7_5H006	527	627	-	330	100					0.0	1.0						False		
head56	SM_V7_4H023	4649	4749	+	3187	100					0.0	1.0						False		
head60	SM_V7_2H014	855	955	-	584	100	Smp_303560	hg	3772.0		0.0	1.0	4727.0	28712.0	-	23985	0.29573879126297536	True	gh	gh
head63	SM_V7_1H037	1452	1552	-	68	100					0.0	1.0						False		
head68	SM_V7_3H012	861	961	-	780	100					0.3068098564629972	1.0						False		
head71	SM_V7_2H006	611	711	-	1112	100	Smp_325240	hg	43545.0		0.0	1.0	44256.0	70944.0	+	26688	0.754141590136745	False	hg	gh
head81	SM_V7_ZWH029	2706	2806	+	545	100	Smp_324770	hg	7030.0		0.0	1.0	9836.0	29594.0	+	19758	0.08796871279443487	True	hg	hg
head82	SM_V7_1H039	969	1069	-	1160	100	Smp_324910	hg	3797.0		0.0	1.0	4866.0	27254.0	+	22388	0.48675995930871074	False	hg	gh
head83	SM_V7_5H015	1745	1845	-	332	100	Smp_321340	hg	12471.0		0.27194458900565555	1.0	14316.0	22590.0	+	8274	0.10299046043243437	False	hg	gh
head85	SM_V7_1H047	2554	2654	+	119	100	Smp_309870	olap	0.0		0.5438891780113111	1.0	1917.0	10802.0	-	8885	0.20756582961371162	False	olap	olap
