	seqid	start	end	strand	length	motherlength	neighbor_gene	flag	distance	correlation	transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand
head0	SM_V7_4H018	2815	2915	+	100	2823	Smp_321170	dir	2701.0		2.6855296201053402	1.0	5616.0	8339.0	+	2723	0.7770302361411093	True
head1	SM_V7_U005	444	544	+	100	428	Smp_317840	dir	18033.0		0.0	1.0	18577.0	21922.0	-	3345	0.024389649238175385	False
head100	SM_V7_2H016	3173	3273	+	100	311					0.0	1.0						False
head10007	SM_V7_5	11664755	11664855	+	100	592	Smp_344580	esq	5635.0		0.3068098564629972	0.0	11634106.0	11659120.0	+	25014	122.60267619487303	True
head10010	SM_V7_1	11674926	11675026	+	100	420	Smp_332800	olap	0.0		0.0	0.0	11619967.0	11761536.0	+	141569	0.5263742977711389	True
head10013	SM_V7_3	11679386	11679486	+	100	722	Smp_159630	esq	19477.0		0.4086317824933114	0.0	11649724.0	11659909.0	-	10185	7.911719000814656	False
head10019	SM_V7_3	11698296	11698396	-	100	160	Smp_159630	esq	38387.0		0.21076339132628552	0.0	11649724.0	11659909.0	-	10185	7.911719000814656	True
head10028	SM_V7_5	11710432	11710532	+	100	411	Smp_153330	esq	25870.0		0.0	0.0	11683338.0	11684562.0	-	1224	0.8851782991354028	False
head10031	SM_V7_2	11714488	11714588	+	100	464	Smp_245580	esq	28639.0		0.0	0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10032	SM_V7_3	11713813	11713913	-	100	361	Smp_159630	esq	53904.0		0.0	0.0	11649724.0	11659909.0	-	10185	7.911719000814656	True
head10033	SM_V7_2	11715079	11715179	-	100	1015	Smp_245580	esq	29230.0		0.0	0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	False
head10035	SM_V7_5	11717038	11717138	-	100	346	Smp_153340	dir	23449.0		0.9204295693889916	0.0	11740587.0	11749732.0	-	9145	51.70861461566257	True
head10041	SM_V7_3	11731692	11731792	-	100	621	Smp_159630	esq	71783.0		0.0	0.0	11649724.0	11659909.0	-	10185	7.911719000814656	True
head10045	SM_V7_5	11735389	11735489	-	100	179	Smp_153340	dir	5098.0		3.9968622197561148	0.0	11740587.0	11749732.0	-	9145	51.70861461566257	True
head10049	SM_V7_2	11742907	11743007	+	100	452	Smp_245580	esq	57058.0		0.0	0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10050	SM_V7_3	11747113	11747213	+	100	189	Smp_080610	dir	82339.0		0.0	0.0	11829552.0	11831779.0	-	2227	40.55600474079012	False
head10054	SM_V7_2	11754388	11754488	+	100	662	Smp_245580	esq	68539.0		0.0	0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10055	SM_V7_3	11753729	11753829	-	100	586	Smp_080610	dir	75723.0		0.0	0.0	11829552.0	11831779.0	-	2227	40.55600474079012	True
head1006	SM_V7_W011	38384	38484	-	100	137	Smp_308070	dir	20323.0		0.0	0.0	58807.0	62862.0	-	4055	0.0	True
head10063	SM_V7_2	11763266	11763366	-	100	836	Smp_245580	esq	77417.0		3.415305791840562	0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	False
head10064	SM_V7_2	11765283	11765383	+	100	78	Smp_245580	esq	79434.0		0.0	0.0	11653015.0	11685849.0	+	32834	1.2307588948043615	True
head10066	SM_V7_3	11768833	11768933	+	100	242	Smp_080610	dir	60619.0		0.0	0.0	11829552.0	11831779.0	-	2227	40.55600474079012	False
head10068	SM_V7_2	11770383	11770483	+	100	65	Smp_187950	dir	78748.0		0.0	0.0	11849231.0	11849554.0	+	323	0.0	True
head10077	SM_V7_4	11778688	11778788	+	100	507	Smp_062900	olap	0.0	0.249052559679	6.749657171900302	0.0	11763899.0	11800997.0	-	37098	1.5384008937298128	False
head10085	SM_V7_6	11783719	11783819	-	100	561	Smp_194100	esq	11154.0		0.0	0.0	11763411.0	11772565.0	+	9154	0.04271937224315474	False
head10086	SM_V7_3	11786162	11786262	-	100	372	Smp_080610	dir	43290.0		0.0	0.0	11829552.0	11831779.0	-	2227	40.55600474079012	True
head10092	SM_V7_5	11798522	11798622	-	100	313	Smp_344590	esq	3187.0		0.0	0.0	11777624.0	11795335.0	-	17711	0.028100334175397465	True
head10094	SM_V7_5	11803818	11803918	+	100	223	Smp_153370	dir	4070.0		0.3068098564629972	0.0	11807988.0	11813972.0	-	5984	0.02619154848625648	False
head10096	SM_V7_7	11806129	11806229	-	100	179	Smp_144820	esq	8399.0		0.0	0.0	11731785.0	11797730.0	-	65945	3.2592531002922893	True
head10099	SM_V7_3	11810816	11810916	+	100	223	Smp_080610	dir	18636.0		0.0	0.0	11829552.0	11831779.0	-	2227	40.55600474079012	False
head10107	SM_V7_7	11829019	11829119	+	100	982	Smp_041600	dir	11808.0		2.24814684289924	0.0	11840927.0	11878652.0	-	37725	11.173654315953588	False
head10108	SM_V7_6	11828696	11828796	+	100	65	Smp_334760	olap	0.0		0.3068098564629972	0.0	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10109	SM_V7_6	11832457	11832557	+	100	594	Smp_334760	olap	0.0		2.358050232090906	0.0	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10111	SM_V7_7	11835720	11835820	+	100	208	Smp_041600	dir	5107.0		0.5793352394621382	0.0	11840927.0	11878652.0	-	37725	11.173654315953588	False
head10117	SM_V7_6	11845401	11845501	-	100	802	Smp_334760	olap	0.0		0.2043158912466557	0.0	11814806.0	11931126.0	+	116320	1.1255545679375298	False
head10118	SM_V7_6	11846743	11846843	-	100	196	Smp_334760	olap	0.0		0.6423707076387833	0.0	11814806.0	11931126.0	+	116320	1.1255545679375298	False
head10119	SM_V7_3	11852778	11852878	-	100	871	Smp_080620	esq	465.0		0.9491805641017805	0.0	11844776.0	11852313.0	+	7537	5.8410809176085134	False
head10129	SM_V7_6	11873147	11873247	+	100	420	Smp_334760	olap	0.0		3.525880480753536	0.0	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10131	SM_V7_1	11886353	11886453	+	100	690	Smp_003660	esq	5941.0		0.0	0.0	11875863.0	11880412.0	-	4549	498.3332409118053	False
head10135	SM_V7_ZW	11893123	11893223	+	100	604	Smp_120350	esq	13771.0		0.0	0.0	11863531.0	11879352.0	-	15821	7.057385901907769	False
head10136	SM_V7_6	11893393	11893493	+	100	295	Smp_334760	olap	0.0	0.159316398413	3.994060237309215	0.0	11814806.0	11931126.0	+	116320	1.1255545679375298	True
head10139	SM_V7_2	11904164	11904264	-	100	671	Smp_310510	olap	0.0		0.0	0.0	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head1014	SM_V7_7H004	39716	39816	+	100	513	Smp_317960	olap	0.0		0.0	0.0	11900.0	52552.0	-	40652	0.11868910714235548	False
head10142	SM_V7_6	11906017	11906117	-	100	467	Smp_334760	olap	0.0		1.221125153107436	0.0	11814806.0	11931126.0	+	116320	1.1255545679375298	False
head10146	SM_V7_2	11913150	11913250	+	100	462	Smp_310510	olap	0.0		1.92711212291635	0.0	11884566.0	12043925.0	+	159359	0.3392654677354109	True
head10152	SM_V7_2	11932794	11932894	-	100	232	Smp_310510	olap	0.0		0.0	0.0	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head10160	SM_V7_ZW	11941767	11941867	-	100	3191	Smp_193800	olap	0.0	-0.0432071227936	7.125576117140591	0.0	11916226.0	11951750.0	+	35524	3.7824052153161567	False
head10164	SM_V7_5	11949966	11950066	-	100	366	Smp_153390	esq	4144.0		0.0	0.0	11940111.0	11945822.0	-	5711	45.5829082702319	True
head10166	SM_V7_1	11955185	11955285	+	100	1932	Smp_003620	dir	71.0		0.5366544084066698	0.0	11955356.0	11980971.0	+	25615	7.22420499960502	True
head10169	SM_V7_ZW	11951647	11951747	-	100	3054	Smp_193800	olap	0.0	0.400320019089	22.75828941127305	0.0	11916226.0	11951750.0	+	35524	3.7824052153161567	False
head10181	SM_V7_6	11965255	11965355	-	100	856	Smp_141980	olap	0.0	-0.0325952381448	4.499723016974404	0.0	11941706.0	12003622.0	+	61916	5.13963768551409	False
head10183	SM_V7_5	11964580	11964680	-	100	3183	Smp_247660	dir	5156.0		0.8861450959251354	0.0	11969836.0	11974872.0	+	5036	0.010800023391805226	False
head10187	SM_V7_2	11971053	11971153	-	100	317	Smp_310510	olap	0.0		0.9143152966444389	0.0	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head10188	SM_V7_3	11972861	11972961	+	100	479	Smp_345620	olap	0.0		0.0	0.0	11871455.0	11988772.0	-	117317	0.27302452194500365	False
head10189	SM_V7_2	11973047	11973147	-	100	472	Smp_310510	olap	0.0		0.8430535653051421	0.0	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head1019	SM_V7_U004	40177	40277	+	100	632	Smp_328760	esq	17574.0		0.0	0.0	22026.0	22603.0	+	577	0.29381713818560595	True
head10190	SM_V7_3	11977044	11977144	+	100	272	Smp_345620	olap	0.0		0.0	0.0	11871455.0	11988772.0	-	117317	0.27302452194500365	False
