head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_gene_transcription	gene_gene_complement_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_ZW	20314210	20314310	-	3183	100	Smp_134290	olap	0.0			0.059234990990594816	0.0	0.0	20300499.0	20331294.0	+	30795	0.0003847052507913285	0.3584298821622808	False	olap	olap
head1	SM_V7_ZW	17124008	17124108	-	3186	100	Smp_343250	hg	9299.0			0.0	0.0	0.0	17133407.0	17184102.0	-	50695	0.0006543366200756107	0.021733323452511364	True	gh	gh
head2	SM_V7_ZW	57479365	57479465	-	3180	100	Smp_244380	olap	0.0			0.0	0.0	0.0	57400306.0	57496018.0	-	95712	0.00047035474290425496	0.228084917039387	True	olap	olap
head3	SM_V7_ZW	14905845	14905945	-	3186	100	Smp_346990	olap	0.0	-0.11357994109621428		0.11846998198118963	0.0	0.0	14888566.0	14917334.0	+	28768	0.0002882681708385453	0.5427677845217183	False	olap	olap
head4	SM_V7_ZW	57956100	57956200	+	3183	100	Smp_244370	olap	0.0			0.04738799279247585	0.0	0.0	57878821.0	57986377.0	-	107556	0.0007379866109505471	0.030995437659922975	False	olap	olap
head5	SM_V7_ZW	39103631	39103731	-	3186	100	Smp_079960	gh	3234.0			0.0	0.0	0.0	39097332.0	39100397.0	-	3065	0.0	0.34400745175614605	True	hg	hg
head6	SM_V7_ZW	8039240	8039340	+	3183	100	Smp_303950	olap	0.0			0.023693996396237926	0.0	0.0	7972240.0	8041705.0	-	69465	0.00044342036011098105	0.13701689127429315	False	olap	olap
head7	SM_V7_ZW	84622062	84622162	+	3183	100	Smp_026540	olap	0.0			0.0	0.0	0.0	84545876.0	84641919.0	+	96043	0.0013321905869213245	0.11181766361520193	True	olap	olap
head8	SM_V7_ZW	2750107	2750207	-	3186	100	Smp_130660	olap	0.0			0.023693996396237926	0.0	0.0	2718322.0	2780093.0	+	61771	0.0004986513949120023	0.032527414068106004	False	olap	olap
head9	SM_V7_ZW	67334580	67334680	+	3183	100	Smp_244080	gh	9526.0			0.0	0.0	0.0	67105199.0	67325054.0	-	219855	0.0005388550725759689	0.07963200262527667	False	hg	gh
head10	SM_V7_ZW	73828743	73828843	-	3183	100	Smp_345400	gh	15668.0			0.023693996396237926	0.0	0.0	73797076.0	73813075.0	+	15999	0.001851209169029152	0.48775659185580106	False	gh	hg
head11	SM_V7_ZW	38967507	38967607	+	3186	100	Smp_242440	olap	0.0			0.0	0.0	0.0	38942546.0	38971377.0	-	28831	0.0015614648521678767	0.0129848129811855	False	olap	olap
